Deck Name,Archetype,Format,Deck Count 1 Year,% of Meta 1 Year,Most Iconic Card,2nd Most Iconic Card,3rd Most Iconic Card,Deck Price (USD),Flooded Strand,FS Price,Polluted Delta,PD Price,Bloodstained Mire,BM Price,Wooded Foothills,WF Price,Windswept Heath,WH Price,Marsh Flats,MF Price,Scalding Tarn,ST Price,Verdat Catacombs,VC Price,Arid Mesa,AM Price,Misty Rainforest,MR Price,Prismatic Vista,PV Price,Total Fetchlands,Total Fetchland Price,Deck Cost Minus Fetchlands,Cost Ratio of Fetch/Total,Percent of Deck Cost is Fetches
Burn,Aggro,Modern,286,8.1,Lava Spike,Lurrus of the Dream Den,Boros Charm,481,0,22,0,27.59,2,25.75,1,26.99,0,16.65,0,43,0,75.61,0,73.5,2,42.44,0,88.5,0,30.4,5,163.37,317.63,0.33964657,30-45%
Uroza,Control-Combo,Modern,165,4.68,"Urza, Lord High Artificer",Arcum's Astrolabe,Ice-Fang Coatl,1419,0,22,4,27.59,0,25.75,0,26.99,0,16.65,0,43,2,75.61,0,73.5,0,42.44,4,88.5,3,30.4,13,706.78,712.22,0.498083157,30-45%
Bant Snowblade,Control,Modern,151,4.28,Ice-Fang Coatl,"Yorion, Sky Nomad",Path to Exile,1424,4,22,0,27.59,0,25.75,0,26.99,2,16.65,0,43,2,75.61,0,73.5,0,42.44,4,88.5,1,30.4,13,656.92,767.08,0.461320225,30-45%
Gruul Midrange,Midrange,Modern,149,4.22,Bloodbraid Elf,Lightning Bolt,Arbor Elf,579,0,22,0,27.59,0,25.75,4,26.99,4,16.65,0,43,0,75.61,1,73.5,0,42.44,0,88.5,0,30.4,9,248.06,330.94,0.428428325,30-45%
Eldrazi Tron,Midrange,Modern,130,3.68,Thought-Knot Seer,"Karn, the Great Creator",Chalice of the Void,643,0,22,0,27.59,0,25.75,0,26.99,0,16.65,0,43,0,75.61,0,73.5,0,42.44,0,88.5,0,30.4,0,0,643,0,No Fetchlands
Amulet Titan,Combo,Modern,118,3.34,Primeval Titan,Dryad of the Ilysian Grove,Arboreal Grazer,662,0,22,0,27.59,0,25.75,0,26.99,1,16.65,0,43,0,75.61,0,73.5,0,42.44,0,88.5,0,30.4,1,16.65,645.35,0.025151057,1-15%
Humans,Aggro-Control,Modern,115,3.26,Champion of the Parish,Noble Hierarch,Reflector Mage,775,0,22,0,27.59,0,25.75,0,26.99,0,16.65,0,43,0,75.61,0,73.5,0,42.44,0,88.5,0,30.4,0,0,775,0,No Fetchlands
Lurrus Jund,Midrange,Modern,102,2.89,Tarmogoyf,Lurrus of the Dream Den,Mishra's Bauble,1295,0,22,0,27.59,2,25.75,2,26.99,0,16.65,0,43,0,75.61,4,73.5,0,42.44,0,88.5,0,30.4,8,399.48,895.52,0.308478764,30-45%
Tron,Midrange,Modern,102,2.89,Karn Liberated,"Jegantha, the Wellspring",Ancient Stirrings,593,0,22,0,27.59,0,25.75,0,26.99,0,16.65,0,43,0,75.61,0,73.5,0,42.44,0,88.5,0,30.4,0,0,593,0,No Fetchlands
Lurrus Mardu,Aggro,Modern,101,2.86,Lurrus of the Dream Den,Soul-Scar Mage,Lightning Bolt,655,0,22,0,27.59,4,25.75,1,26.99,0,16.65,0,43,0,75.61,0,73.5,1,42.44,0,88.5,0,30.4,6,172.43,482.57,0.263251908,16-30%
Dredge,Aggro,Modern,99,2.81,Creeping Chill,Cathartic Reunion,Stinkweed Imp,545,0,22,0,27.59,2,25.75,3,26.99,0,16.65,0,43,0,75.61,0,73.5,3,42.44,0,88.5,0,30.4,8,259.79,285.21,0.476678899,30-45%
